Date,AHU Kitchen Extract Control Temperature_mean,AHU Kitchen Extract Control Temperature_max,AHU Kitchen Extract Control Temperature_min,AHU Kitchen Intake Control Temperature_mean,AHU Kitchen Intake Control Temperature_max,AHU Kitchen Intake Control Temperature_min,AHU Kitchen Supply Control Temperature_mean,AHU Kitchen Supply Control Temperature_max,AHU Kitchen Supply Control Temperature_min,AHU Kitchen Extract Entering Temperature_mean,AHU Kitchen Extract Entering Temperature_max,AHU Kitchen Extract Entering Temperature_min,AHU Kitchen Intake Entering Temperature_mean,AHU Kitchen Intake Entering Temperature_max,AHU Kitchen Intake Entering Temperature_min,AHU Kitchen Supply Entering Temperature_mean,AHU Kitchen Supply Entering Temperature_max,AHU Kitchen Supply Entering Temperature_min,AHU Kitchen Extract Leaving Temperature_mean,AHU Kitchen Extract Leaving Temperature_max,AHU Kitchen Extract Leaving Temperature_min,AHU Kitchen Intake Leaving Temperature_mean,AHU Kitchen Intake Leaving Temperature_max,AHU Kitchen Intake Leaving Temperature_min,AHU Kitchen Supply Leaving Temperature_mean,AHU Kitchen Supply Leaving Temperature_max,AHU Kitchen Supply Leaving Temperature_min
2025-02-05,,,,,,,21.3054172868125,24.313388512,17.608468617,17.628171822604166,22.954629393,12.743390612,,,,,,,17.628171822604166,22.954629393,12.743390612,,,,21.3054172868125,24.313388512,17.608468617
2025-02-06,,,,,,,21.161399221670138,23.446046855,16.91953267,17.987760959041665,23.436697576,13.872851594,,,,,,,17.987760959041665,23.436697576,13.872851594,,,,21.161399221670138,23.446046855,16.91953267
2025-02-07,,,,,,,21.00692884380903,23.732783898,17.311633632,17.4386294800625,24.214432677,12.416688091,,,,,,,17.4386294800625,24.214432677,12.416688091,,,,21.00692884380903,23.732783898,17.311633632
2025-02-08,,,,,,,22.404212050788193,22.763062382,21.850440881,12.626518779173612,13.498047556,11.313223834,,,,,,,12.626518779173612,13.498047556,11.313223834,,,,22.404212050788193,22.763062382,21.850440881
2025-02-09,,,,,,,21.248631068680556,22.278144129,19.21224236,13.050121104666665,16.298369959,11.722160451,,,,,,,13.050121104666665,16.298369959,11.722160451,,,,21.248631068680556,22.278144129,19.21224236
2025-02-10,,,,,,,19.92777333533333,22.769959357,16.904761903,16.149457800913197,23.345210644,10.503444167,,,,,,,16.149457800913197,23.345210644,10.503444167,,,,19.92777333533333,22.769959357,16.904761903
2025-02-11,,,,,,,20.133661386493056,22.867914022,16.792033263,16.396291099100694,23.40493938,11.338740968,,,,,,,16.396291099100694,23.40493938,11.338740968,,,,20.133661386493056,22.867914022,16.792033263
2025-02-12,,,,,,,20.807643370114583,23.723333559,17.032588768,17.165553771749998,23.142889153,12.120560872,,,,,,,17.165553771749998,23.142889153,12.120560872,,,,20.807643370114583,23.723333559,17.032588768
2025-02-13,,,,,,,21.04907083595486,23.361510084,17.046828319,17.05624045367361,23.373718102,12.326005847,,,,,,,17.05624045367361,23.373718102,12.326005847,,,,21.04907083595486,23.361510084,17.046828319
2025-02-14,,,,,,,21.033452351256944,23.237766677,17.35944542,17.158315078038196,24.002589484,11.706600177,,,,,,,17.158315078038196,24.002589484,11.706600177,,,,21.033452351256944,23.237766677,17.35944542
2025-02-15,,,,,,,22.320648618760416,22.893911665,21.668305827,13.569988190288194,15.508472895,12.042090049,,,,,,,13.569988190288194,15.508472895,12.042090049,,,,22.320648618760416,22.893911665,21.668305827
2025-02-16,,,,,,,21.577497142013886,22.174642531,20.800937195,12.713910960503473,14.725374426,11.290652562,,,,,,,12.713910960503473,14.725374426,11.290652562,,,,21.577497142013886,22.174642531,20.800937195
2025-02-17,,,,,,,20.384882645083334,22.387746941,17.093410047,16.30502183636111,22.624064465,11.308633209,,,,,,,16.30502183636111,22.624064465,11.308633209,,,,20.384882645083334,22.387746941,17.093410047
2025-02-18,,,,,,,20.860444117677083,23.564768244,17.1861319,16.86501654145833,26.381499389,11.342542439,,,,,,,16.86501654145833,26.381499389,11.342542439,,,,20.860444117677083,23.564768244,17.1861319
2025-02-19,,,,,,,20.991605309524303,24.241771835,16.978306093,17.40931814634028,25.679064724,10.870218256,,,,,,,17.40931814634028,25.679064724,10.870218256,,,,20.991605309524303,24.241771835,16.978306093
2025-02-20,,,,,,,21.449777311322915,24.316341841,17.723131183,18.620113912,25.864191404,13.328880967,,,,,,,18.620113912,25.864191404,13.328880967,,,,21.449777311322915,24.316341841,17.723131183
2025-02-21,,,,,,,21.523288115409724,24.145090431,18.188042149,18.843293228277776,23.794803855,14.164531238,,,,,,,18.843293228277776,23.794803855,14.164531238,,,,21.523288115409724,24.145090431,18.188042149
2025-02-22,,,,,,,23.312845098281247,23.886779335,22.669634507,16.06688425098611,19.293910454,13.761225564,,,,,,,16.06688425098611,19.293910454,13.761225564,,,,23.312845098281247,23.886779335,22.669634507
2025-02-23,,,,,,,23.03737604343403,23.837674594,22.690141109,16.10182309857986,18.911471209,13.747254409,,,,,,,16.10182309857986,18.911471209,13.747254409,,,,23.03737604343403,23.837674594,22.690141109
2025-02-24,,,,,,,20.969827061934026,22.933358253,18.318583892,18.289787516135416,24.312111172,13.731697411,,,,,,,18.289787516135416,24.312111172,13.731697411,,,,20.969827061934026,22.933358253,18.318583892
2025-02-25,,,,,,,21.0560262798125,23.89780717,17.894941878,17.86189030373611,24.311009385,12.788178889,,,,,,,17.86189030373611,24.311009385,12.788178889,,,,21.0560262798125,23.89780717,17.894941878
2025-02-26,,,,,,,21.082794982607638,23.636218822,17.114163749,17.457416928312497,25.974352069,12.742587665,,,,,,,17.457416928312497,25.974352069,12.742587665,,,,21.082794982607638,23.636218822,17.114163749
2025-02-27,,,,,,,20.466468320208335,23.201047475,8.033248937,17.324055345138888,26.619076497,11.68031546,,,,,,,17.324055345138888,26.619076497,11.68031546,,,,20.466468320208335,23.201047475,8.033248937
2025-02-28,,,,,,,20.90506156738112,23.141782707,16.988647108,18.12622452670979,26.237931642,13.037375877,,,,,,,18.12622452670979,26.237931642,13.037375877,,,,20.90506156738112,23.141782707,16.988647108
2025-03-01,,,,,,,22.536864594393727,23.29463008,22.033524679,15.534946971229964,19.810011213,12.33368834,,,,,,,15.534946971229964,19.810011213,12.33368834,,,,22.536864594393727,23.29463008,22.033524679
2025-03-02,,,,,,,22.24122757709375,23.167766729,21.665997732,15.791051723649307,21.000825754,13.500982504,,,,,,,15.791051723649307,21.000825754,13.500982504,,,,22.24122757709375,23.167766729,21.665997732
2025-03-03,,,,,,,20.900454132427082,23.600949624,18.311366496,18.730483118038194,24.472408139,13.588989925,,,,,,,18.730483118038194,24.472408139,13.588989925,,,,20.900454132427082,23.600949624,18.311366496
2025-03-04,,,,,,,21.141359796194443,23.63886782,18.385126214,18.044708354458336,23.796852881,13.758053976,,,,,,,18.044708354458336,23.796852881,13.758053976,,,,21.141359796194443,23.63886782,18.385126214
2025-03-05,,,,,,,21.216969721822917,23.867837199,17.70253131,18.322831072197918,24.259057588,13.54008684,,,,,,,18.322831072197918,24.259057588,13.54008684,,,,21.216969721822917,23.867837199,17.70253131
2025-03-06,,,,,,,21.454932845270832,24.370786898,17.809642923,19.465617356413194,24.438925147,13.94397261,,,,,,,19.465617356413194,24.438925147,13.94397261,,,,21.454932845270832,24.370786898,17.809642923
2025-03-07,,,,,,,21.67038813615625,24.649505427,18.534828367,19.41853775238889,25.204356093,15.466181153,,,,,,,19.41853775238889,25.204356093,15.466181153,,,,21.67038813615625,24.649505427,18.534828367
2025-03-08,,,,,,,24.009762703458332,24.740087492,23.432828728,17.864000702927083,23.95551954,15.124525667,,,,,,,17.864000702927083,23.95551954,15.124525667,,,,24.009762703458332,24.740087492,23.432828728
2025-03-09,,,,,,,23.70832812373611,24.71877025,23.232548864,16.83760559520833,23.667493353,13.871869678,,,,,,,16.83760559520833,23.667493353,13.871869678,,,,23.70832812373611,24.71877025,23.232548864
2025-03-10,,,,,,,21.52150733095139,24.203672999,17.152860166,18.271290402947916,23.181303502,13.213138817,,,,,,,18.271290402947916,23.181303502,13.213138817,,,,21.52150733095139,24.203672999,17.152860166
2025-03-11,,,,,,,18.909702164753472,23.465694878,9.9984174,20.051441359368056,25.763866798,12.083443658,,,,,,,20.051441359368056,25.763866798,12.083443658,,,,18.909702164753472,23.465694878,9.9984174
2025-03-12,,,,,,,20.07341214646528,23.069167443,13.457236224,18.23500111038889,23.62789159,12.410057989,,,,,,,18.23500111038889,23.62789159,12.410057989,,,,20.07341214646528,23.069167443,13.457236224
2025-03-13,,,,,,,19.752065255517362,22.916451101,12.77554007,17.82116408549653,24.069523463,12.45322787,,,,,,,17.82116408549653,24.069523463,12.45322787,,,,19.752065255517362,22.916451101,12.77554007
2025-03-14,,,,,,,21.187965768756943,24.355678094,13.308294201,17.789704085298613,24.417112766,12.071604669,,,,,,,17.789704085298613,24.417112766,12.071604669,,,,21.187965768756943,24.355678094,13.308294201
2025-03-15,,,,,,,23.343009778993054,24.67386404,22.619914085,15.969968134618057,21.969134997,12.725798564,,,,,,,15.969968134618057,21.969134997,12.725798564,,,,23.343009778993054,24.67386404,22.619914085
2025-03-16,,,,,,,22.723547976545138,23.39656687,22.212451616,15.793158237038195,19.083234781,12.900052591,,,,,,,15.793158237038195,19.083234781,12.900052591,,,,22.723547976545138,23.39656687,22.212451616
2025-03-17,,,,,,,19.437507687850697,22.371269312,11.525709459,19.81823542084722,25.770668286,12.135051379,,,,,,,19.81823542084722,25.770668286,12.135051379,,,,19.437507687850697,22.371269312,11.525709459
2025-03-18,,,,,,,21.09521597387153,23.897416717,16.916487788,17.55247238096528,26.11100928,12.168080812,,,,,,,17.55247238096528,26.11100928,12.168080812,,,,21.09521597387153,23.897416717,16.916487788
2025-03-19,,,,,,,21.43890715132639,24.577656066,16.758459535,18.67092219797222,25.632819286,12.908029002,,,,,,,18.67092219797222,25.632819286,12.908029002,,,,21.43890715132639,24.577656066,16.758459535
2025-03-20,,,,,,,18.838484877513892,23.198428863,10.719825136,19.864808982555555,26.051007823,13.12854709,,,,,,,19.864808982555555,26.051007823,13.12854709,,,,18.838484877513892,23.198428863,10.719825136
2025-03-21,,,,,,,20.891604893024308,23.745536437,17.910983661,18.27588401876389,25.510161838,12.537339187,,,,,,,18.27588401876389,25.510161838,12.537339187,,,,20.891604893024308,23.745536437,17.910983661
2025-03-22,,,,,,,23.327215116,24.249299069,22.673054943,16.03351607697222,22.944145881,13.656562679,,,,,,,16.03351607697222,22.944145881,13.656562679,,,,23.327215116,24.249299069,22.673054943
